wl,int
1007,0.0032773
1008,0.0031802
1009,0.0032098
1010,0.0031
1011,0.0030532
1012,0.0029789
1013,0.0028219
1014,0.002761
1015,0.0028661
1016,0.0029195
1017,0.0030627
1018,0.0036233
1019,0.0042642
1020,0.0045021
1021,0.0044685
1022,0.0041638
1023,0.0037452
1024,0.0029665
1025,0.0024507
1026,0.0020121
1027,0.0014952
1028,0.0010053
1029,0.00067136
1030,0.00042552
1031,0.0002948
1032,0.00025095
1033,0.00023515
1034,0.0002324
1035,0.00023255
1036,0.00023549
1037,0.0002377
1038,0.00024092
1039,0.00024483
1040,0.00024793
1041,0.00025125
1042,0.00025623
1043,0.00025878
1044,0.00026321
1045,0.00026702
1046,0.0002721
1047,0.00027733
1048,0.00028153
1049,0.00028692
